Character,Decimal,Character,Hex,Name
ዋ,4811,ዋ,12CB,ETHIOPIC SYLLABLE WAA
ዌ,4812,ዌ,12CC,ETHIOPIC SYLLABLE WEE
ው,4813,ው,12CD,ETHIOPIC SYLLABLE WE
ዎ,4814,ዎ,12CE,ETHIOPIC SYLLABLE WO
ዐ,4816,ዐ,12D0,ETHIOPIC SYLLABLE PHARYNGEAL A
ዑ,4817,ዑ,12D1,ETHIOPIC SYLLABLE PHARYNGEAL U
ዒ,4818,ዒ,12D2,ETHIOPIC SYLLABLE PHARYNGEAL I
ዓ,4819,ዓ,12D3,ETHIOPIC SYLLABLE PHARYNGEAL AA
ዔ,4820,ዔ,12D4,ETHIOPIC SYLLABLE PHARYNGEAL EE
ዕ,4821,ዕ,12D5,ETHIOPIC SYLLABLE PHARYNGEAL E
ዖ,4822,ዖ,12D6,ETHIOPIC SYLLABLE PHARYNGEAL O
ዘ,4824,ዘ,12D8,ETHIOPIC SYLLABLE ZA
ዙ,4825,ዙ,12D9,ETHIOPIC SYLLABLE ZU
ዚ,4826,ዚ,12DA,ETHIOPIC SYLLABLE ZI
ዛ,4827,ዛ,12DB,ETHIOPIC SYLLABLE ZAA
ዜ,4828,ዜ,12DC,ETHIOPIC SYLLABLE ZEE
ዝ,4829,ዝ,12DD,ETHIOPIC SYLLABLE ZE
ዞ,4830,ዞ,12DE,ETHIOPIC SYLLABLE ZO
ዠ,4832,ዠ,12E0,ETHIOPIC SYLLABLE ZHA
ዡ,4833,ዡ,12E1,ETHIOPIC SYLLABLE ZHU
ዢ,4834,ዢ,12E2,ETHIOPIC SYLLABLE ZHI
ዣ,4835,ዣ,12E3,ETHIOPIC SYLLABLE ZHAA
ዤ,4836,ዤ,12E4,ETHIOPIC SYLLABLE ZHEE
ዥ,4837,ዥ,12E5,ETHIOPIC SYLLABLE ZHE
ዦ,4838,ዦ,12E6,ETHIOPIC SYLLABLE ZHO
የ,4840,የ,12E8,ETHIOPIC SYLLABLE YA
ዩ,4841,ዩ,12E9,ETHIOPIC SYLLABLE YU
ዪ,4842,ዪ,12EA,ETHIOPIC SYLLABLE YI
ያ,4843,ያ,12EB,ETHIOPIC SYLLABLE YAA
ዬ,4844,ዬ,12EC,ETHIOPIC SYLLABLE YEE
ይ,4845,ይ,12ED,ETHIOPIC SYLLABLE YE
ዮ,4846,ዮ,12EE,ETHIOPIC SYLLABLE YO
ደ,4848,ደ,12F0,ETHIOPIC SYLLABLE DA
ዱ,4849,ዱ,12F1,ETHIOPIC SYLLABLE DU
ዲ,4850,ዲ,12F2,ETHIOPIC SYLLABLE DI
ዳ,4851,ዳ,12F3,ETHIOPIC SYLLABLE DAA
ዴ,4852,ዴ,12F4,ETHIOPIC SYLLABLE DEE
ድ,4853,ድ,12F5,ETHIOPIC SYLLABLE DE
ዶ,4854,ዶ,12F6,ETHIOPIC SYLLABLE DO
ጀ,4864,ጀ,1300,ETHIOPIC SYLLABLE JA
ጁ,4865,ጁ,1301,ETHIOPIC SYLLABLE JU
ጂ,4866,ጂ,1302,ETHIOPIC SYLLABLE JI
ጃ,4867,ጃ,1303,ETHIOPIC SYLLABLE JAA
ጄ,4868,ጄ,1304,ETHIOPIC SYLLABLE JEE
ጅ,4869,ጅ,1305,ETHIOPIC SYLLABLE JE
ጆ,4870,ጆ,1306,ETHIOPIC SYLLABLE JO
ገ,4872,ገ,1308,ETHIOPIC SYLLABLE GA
ጉ,4873,ጉ,1309,ETHIOPIC SYLLABLE GU
ጊ,4874,ጊ,130A,ETHIOPIC SYLLABLE GI
ጋ,4875,ጋ,130B,ETHIOPIC SYLLABLE GAA
ጌ,4876,ጌ,130C,ETHIOPIC SYLLABLE GEE
ግ,4877,ግ,130D,ETHIOPIC SYLLABLE GE
ጎ,4878,ጎ,130E,ETHIOPIC SYLLABLE GO
ጠ,4896,ጠ,1320,ETHIOPIC SYLLABLE THA
ጡ,4897,ጡ,1321,ETHIOPIC SYLLABLE THU
ጢ,4898,ጢ,1322,ETHIOPIC SYLLABLE THI
ጣ,4899,ጣ,1323,ETHIOPIC SYLLABLE THAA
ጤ,4900,ጤ,1324,ETHIOPIC SYLLABLE THEE
ጥ,4901,ጥ,1325,ETHIOPIC SYLLABLE THE
ጦ,4902,ጦ,1326,ETHIOPIC SYLLABLE THO
ጨ,4904,ጨ,1328,ETHIOPIC SYLLABLE CHA
ጩ,4905,ጩ,1329,ETHIOPIC SYLLABLE CHU
ጪ,4906,ጪ,132A,ETHIOPIC SYLLABLE CHI
ጫ,4907,ጫ,132B,ETHIOPIC SYLLABLE CHAA
ጬ,4908,ጬ,132C,ETHIOPIC SYLLABLE CHEE
ጭ,4909,ጭ,132D,ETHIOPIC SYLLABLE CHE
ጮ,4910,ጮ,132E,ETHIOPIC SYLLABLE CHO
ጰ,4912,ጰ,1330,ETHIOPIC SYLLABLE PHA
ጱ,4913,ጱ,1331,ETHIOPIC SYLLABLE PHU
ጲ,4914,ጲ,1332,ETHIOPIC SYLLABLE PHI
ጳ,4915,ጳ,1333,ETHIOPIC SYLLABLE PHAA
ጴ,4916,ጴ,1334,ETHIOPIC SYLLABLE PHEE
ጵ,4917,ጵ,1335,ETHIOPIC SYLLABLE PHE
ጶ,4918,ጶ,1336,ETHIOPIC SYLLABLE PHO
ጸ,4920,ጸ,1338,ETHIOPIC SYLLABLE TSA
ጹ,4921,ጹ,1339,ETHIOPIC SYLLABLE TSU
ጺ,4922,ጺ,133A,ETHIOPIC SYLLABLE TSI
ጻ,4923,ጻ,133B,ETHIOPIC SYLLABLE TSAA
ጼ,4924,ጼ,133C,ETHIOPIC SYLLABLE TSEE
ጽ,4925,ጽ,133D,ETHIOPIC SYLLABLE TSE
ጾ,4926,ጾ,133E,ETHIOPIC SYLLABLE TSO
ፀ,4928,ፀ,1340,ETHIOPIC SYLLABLE TZA
ፁ,4929,ፁ,1341,ETHIOPIC SYLLABLE TZU
ፂ,4930,ፂ,1342,ETHIOPIC SYLLABLE TZI
ፃ,4931,ፃ,1343,ETHIOPIC SYLLABLE TZAA
ፄ,4932,ፄ,1344,ETHIOPIC SYLLABLE TZEE
ፅ,4933,ፅ,1345,ETHIOPIC SYLLABLE TZE
ፆ,4934,ፆ,1346,ETHIOPIC SYLLABLE TZO
ፈ,4936,ፈ,1348,ETHIOPIC SYLLABLE FA
ፉ,4937,ፉ,1349,ETHIOPIC SYLLABLE FU
ፊ,4938,ፊ,134A,ETHIOPIC SYLLABLE FI
ፋ,4939,ፋ,134B,ETHIOPIC SYLLABLE FAA
ፌ,4940,ፌ,134C,ETHIOPIC SYLLABLE FEE
ፍ,4941,ፍ,134D,ETHIOPIC SYLLABLE FE
ፎ,4942,ፎ,134E,ETHIOPIC SYLLABLE FO
ፐ,4944,ፐ,1350,ETHIOPIC SYLLABLE PA
ፑ,4945,ፑ,1351,ETHIOPIC SYLLABLE PU
ፒ,4946,ፒ,1352,ETHIOPIC SYLLABLE PI
ፓ,4947,ፓ,1353,ETHIOPIC SYLLABLE PAA
ፔ,4948,ፔ,1354,ETHIOPIC SYLLABLE PEE
ፕ,4949,ፕ,1355,ETHIOPIC SYLLABLE PE
ፖ,4950,ፖ,1356,ETHIOPIC SYLLABLE PO
